Date,CCSP,CDCS,ADCS,CDWS,GL,NDCS,NRBCON,SL,ZSCS,EURUSD,USDCLP,USDCNY,USDPEN,USInflation,ChinaInflation
2011/10/31,58960,7864,2126.4,423475,1737.46,18794.8,2.63,34.09,1941.7,1.37,494.29,6.35,2.71,3.42,4.46
2011/11/7,57595,7654.7,2116.47,411505,1779.54,18253,2.66,34.51,1932.15,1.37,499.35,6.35,2.7,3.4,4.2
2011/11/14,57775,7625.9,2108.35,401500,1753.61,17876.4,2.55,33.28,1931.6,1.35,508.3,6.35,2.7,3.4,4.2
2011/11/21,56015,7248.95,2017.1,396255,1689.11,17287.8,2.51,31.79,1910.55,1.34,521.86,6.36,2.7,3.4,4.2
2011/11/28,57365,7684.15,2073.6,388955,1733.17,17230.05,2.56,32.4,2018.05,1.34,518.34,6.35,2.7,3.24,4.16
2011/12/5,58135,7798.95,2086.2,388505,1722.21,18360.5,2.6,32.22,2014.1,1.34,510.21,6.34,2.7,3,4.1
2011/12/12,55970,7373.15,1986.45,382815,1608.02,18121.4,2.53,29.92,1880.95,1.3,517.12,6.34,2.7,3,4.1
2011/12/19,54960,7448.15,1981.45,372070,1607.29,18657.2,2.6,29.15,1840.8,1.3,519.82,6.33,2.69,3,4.1
2011/12/26,55205,7505.75,1987.8,371370,1572.42,18228.2,2.67,28.06,1814.1,1.3,520.46,6.31,2.7,3,4.1
2012/1/2,55935,7617.33,2036.2,369697.5,1604.16,18793.4,2.74,28.93,1843.45,1.29,512.32,6.3,2.69,2.9,4.5
2012/1/9,56000,7794.9,2121.15,362320,1634.32,19439.8,2.75,29.76,1926.15,1.28,505.98,6.31,2.69,2.9,4.5
2012/1/16,58151.67,8210.75,2173.25,352090,1655.3,19767,2.79,30.66,1989.05,1.28,495.2,6.32,2.69,2.9,4.5
2012/1/23,59508.33,8431.3,2220.6,340215,1701.86,20977,2.84,32.93,2125.95,1.31,488.33,6.31,2.69,2.9,4.5
2012/1/30,59320,8398.45,2208.6,329605,1738.9,20982.2,2.89,33.64,2105.1,1.31,484.84,6.3,2.69,2.9,3.72
2012/2/6,59950,8536.45,2213.8,317170,1729.24,21348,2.97,33.8,2106.75,1.32,478.85,6.29,2.69,2.9,3.2
2012/2/13,59370,8320.65,2147.9,311570,1724.05,19971,3.01,33.47,1989.9,1.31,482.85,6.29,2.68,2.9,3.2
2012/2/20,59340,8410.95,2220.7,305080,1764.12,19968.6,3.09,34.54,2022.75,1.33,481.14,6.3,2.68,2.9,3.2
2012/2/27,59780,8570.75,2291.15,295400,1735.49,19543.4,3.21,35.42,2093.05,1.33,479.67,6.3,2.68,2.82,3.36
2012/3/5,59430,8382.75,2192.15,281270,1695.53,18872.25,3.28,33.68,2026.6,1.32,487.18,6.31,2.67,2.7,3.6
2012/3/12,59895,8519.65,2202.65,269825,1666.64,19230.9,3.34,32.8,2076.32,1.31,483.8,6.32,2.67,2.7,3.6
2012/3/19,59540,8456.1,2174.2,258470,1650.27,18626.8,3.36,32.18,2015.6,1.32,485.42,6.3,2.67,2.7,3.6
2012/3/26,59455,8472.5,2121.7,255925,1672.27,17620.2,3.39,32.37,2003.7,1.33,486.8,6.29,2.67,2.7,3.6
2012/4/2,59131,8465.6,2071.2,261726.67,1642.13,18182.8,3.36,32.07,1999.87,1.32,483.16,6.29,2.67,2.3,3.4
2012/4/9,58530,8122.6,2045.12,266643.33,1657.72,18238.9,3.31,31.7,2003.73,1.31,484.91,6.29,2.66,2.3,3.4
2012/4/16,57130,8137.1,2031.4,261555,1646.14,17602.6,3.2,31.59,1991.25,1.31,486.71,6.29,2.65,2.3,3.4
2012/4/23,57772,8340.8,2040.7,255860,1647.83,17692.6,3.18,30.91,2002.85,1.32,485.98,6.29,2.65,2.3,3.4
2012/4/30,58348,8401.7,2059.2,237575,1651.81,17474.8,3.07,30.59,2016.35,1.32,483.37,6.28,2.64,1.82,3.08
2012/5/7,57818,8178.1,2011.12,224007.5,1601.17,17223.6,3,29.3,1961.52,1.3,485.79,6.29,2.65,1.7,3
2012/5/14,56221,7757.9,2000.45,217725,1561.44,16919,2.92,27.94,1909.25,1.27,499.74,6.32,2.67,1.7,3
2012/5/21,56257,7698.3,1983.4,224325,1570.51,16930.2,2.9,28.23,1890.3,1.26,507.81,6.32,2.68,1.7,3
2012/5/28,56019,7536.5,1964,227500,1575.09,16363.6,2.81,28.05,1890.15,1.24,515.5,6.33,2.7,1.7,2.84
2012/6/4,54677,7391.4,1943.3,230450,1607.64,16294.6,2.68,28.64,1878.8,1.25,509.1,6.32,2.69,1.7,2.2
2012/6/11,55026,7413.95,1920.25,242540,1614.69,16929.9,2.67,28.71,1892.35,1.26,500.82,6.37,2.68,1.7,2.2
2012/6/18,55664,7458.75,1859.3,251255,1597.63,16734.3,2.6,27.78,1852.55,1.26,500.02,6.36,2.65,1.7,2.2
2012/6/25,54952,7444.7,1829.95,254915,1576.45,16340.8,2.63,27.06,1803.1,1.25,506.14,6.36,2.66,1.7,2.2
2012/7/2,56115,7682.85,1903.05,254435,1603.17,16735.8,2.71,27.71,1871.3,1.25,497.8,6.36,2.65,1.4,1.8
2012/7/9,55613,7576.15,1872.85,252405,1578.11,16044.4,2.78,27.14,1849.05,1.22,492.5,6.37,2.63,1.4,1.8
2012/7/16,56125,7640.05,1888.55,252775,1581.88,16033.6,2.89,27.26,1863.85,1.23,487.34,6.37,2.62,1.4,1.8
2012/7/23,54968,7454.6,1847.5,251125,1600.06,15750.4,2.84,27.29,1808.75,1.22,488.84,6.39,2.63,1.4,1.8
2012/7/30,55100,7453.35,1834.9,247610,1604.91,15647.8,2.87,27.66,1825.55,1.23,482.56,6.37,2.62,1.58,1.92
2012/8/6,55369,7527.55,1859.55,244290,1614.14,15580.4,2.98,28.03,1844.95,1.24,476.48,6.36,2.62,1.7,2
2012/8/13,55228,7427.35,1810.55,236570,1607.92,15396,3.04,27.92,1782.4,1.23,482.48,6.36,2.61,1.7,2
2012/8/20,55881,7590.95,1848.99,235105,1649.13,16024,3.08,29.83,1814.8,1.25,482.22,6.35,2.61,1.7,2
2012/8/27,55945,7586.02,1878.32,232635,1666.09,16111.65,3.09,30.87,1832.1,1.25,480.18,6.35,2.61,1.7,2
2012/9/3,56481,7737.75,1954.5,217660,1703.22,16108.4,2.97,32.6,1880.7,1.26,479.47,6.34,2.61,2,1.9
2012/9/10,58765,8126.47,2101.18,215705,1744.54,16907,3.01,33.84,2011.55,1.29,473.2,6.33,2.61,2,1.9
